,ACH-000014,ACH-000219,ACH-000274,ACH-000304,ACH-000322,ACH-000348,ACH-000401,ACH-000404,ACH-000425,ACH-000441,ACH-000450,ACH-000458,ACH-000477,ACH-000550,ACH-000579,ACH-000580,ACH-000614,ACH-000632,ACH-000661,ACH-000765,ACH-000788,ACH-000799,ACH-000801,ACH-000805,ACH-000810,ACH-000822,ACH-000827,ACH-000881,ACH-000882,ACH-000884,ACH-000899,ACH-000915,ACH-000968,ACH-001041,ACH-001190,ACH-001239,ACH-001522,ACH-001563,ACH-001566,ACH-001567,ACH-001568,ACH-001570,ACH-001645,ACH-001970,ACH-001973,ACH-001982,ACH-001986,ACH-001990,ACH-002001,ACH-002002,ACH-002003,ACH-002005,ACH-002084,ACH-002143,ACH-002458,ACH-002459,ACH-002460,ACH-002461,ACH-002508,ACH-002510,ACH-002511,ACH-002512,ACH-002847
KIN,-1.4217679702071395,-1.4722028299697685,-1.4180319845017355,-1.0955559884951844,-1.2509424033535887,-1.8479989249582032,-1.6114968651207862,-2.096129017242025,-1.4653804472642924,-1.412502612002726,-1.241375396947888,-1.6384348534288178,-1.514202122944689,-1.532163931580308,-1.5723387208506516,-2.3823504051182947,-1.595042383816601,-1.415337827953335,-1.7345131341418123,-1.6460690128728546,-1.4243480836346116,-1.5463332810301995,-1.690825543209985,-1.6381580267743887,-1.834505384731964,-1.830536557663829,-1.7434355537406616,-1.523153741825827,-1.4206676511673546,-1.5508125596459224,-1.433940194223804,-1.272352164246131,-1.5738522188110262,-1.719331653631128,-1.7879944638206011,-1.4140965918764783,-1.7627332066286687,-1.3163443693944672,-1.912508243757428,-1.8180557605093648,-1.456199412560808,-1.7135196672855089,-1.8253822677563327,-1.143184921483514,-1.595541746559955,-1.754604794621713,-1.5893932503751778,-1.7097281114068827,-1.73825634196913,-1.5605913051419116,-1.6483047588914848,-1.6205243610290747,-1.523140660502308,-1.6120722283424724,-1.1704315628826414,-1.5278102974708416,-1.5205541529301303,-1.4607649662122049,-1.416267793960373,-1.4214405106984,-1.728623177221547,-1.2663990927445448,-1.4654837198498494
EXOSC5,-0.7264954424137945,-0.8620844622213882,-0.9069084880881956,-0.8296637684163786,-0.4992734469721902,-0.6819286425240922,-0.5735613393038729,-0.7730588422332344,-1.0123156469559629,-0.9479973434025116,-0.3169524944805675,-0.91546995585441,-0.3133592088213519,-0.8069491856636111,-0.7890634614596197,-0.5167063564971378,-0.4617236518416321,-0.9330826048115302,-0.3966407404234853,-0.6669893332561108,-0.9778502338136223,-0.4188702601916796,-0.7844049572539042,-0.9145998725933576,-0.6084673040559514,-0.6465832359483303,-0.9798830369853662,-0.7550097043244468,-0.6926479798319471,-1.0789535115706277,-0.5698512619411441,-0.977236416484289,-0.4936864904000461,-0.7320983478494408,-1.081046656337224,-0.9389319436601372,-0.7133060630062537,-0.8296728034831051,-0.8495085701115257,-0.8569464158033904,-0.9106787456764168,-0.4747450059688615,-0.8059699378530041,-0.3150974439006987,-0.7908543008718419,-0.8390369335855743,-0.4194227823259759,-0.8199398608613753,-0.778512727153837,-0.7365101089204906,-0.8145694092783141,-0.5093775867488506,-0.8237227183165852,-0.6894698691359917,-0.4297089945573027,-0.9277980840847844,-0.6916555728169586,-0.9235992977256204,-0.6856318629140707,-0.600002774356804,-0.9138036848277094,-0.3570115528778257,-0.9072001038120412
KAT8,-1.7788024853020277,-1.7040962869787366,-1.814985860432147,-1.4441640766777544,-1.127701723199016,-1.5303042099718742,-1.9194269838050448,-1.3656433571819344,-1.183741866351077,-1.576637639958227,-1.75152538712445,-1.521985987117349,-1.6759620995603894,-1.67713485967656,-1.7939289242023884,-1.7419291109944584,-1.327234993898833,-1.7650365791406106,-1.418853654959086,-1.5108198600684075,-1.58937491118982,-1.3742338810960475,-1.7821897811495804,-1.4574841986604428,-1.7866735864143444,-2.105605348584428,-1.709557418521239,-1.6682073017967585,-1.7292871292750318,-1.776865143841272,-1.23703098693604,-1.418189677069692,-1.394905970515544,-1.5470858638762568,-1.891562540088097,-1.1608923029256353,-1.443673951598312,-1.5863378232183063,-1.8241974767032656,-1.588390310085116,-1.956674186314081,-1.5744513450030608,-1.4859665240455548,-1.2204202892775953,-1.7847992997159077,-1.5751221873624053,-1.1511983514951072,-1.402606949483701,-1.380511856153426,-1.838557371819675,-1.378393118346882,-1.2812870560481249,-1.662278158949983,-1.993194769408228,-1.043475397439417,-1.648906762870712,-1.3739061508606345,-1.7816602296146522,-1.2432542831694242,-1.2811568942545324,-1.995465812563931,-1.8165493700537767,-1.6752658152712778
DNAJC3,0.1777244846335381,0.0319768368313728,-0.0759094092486863,-0.0066430782184383,0.1035081908149318,-0.0907844562453096,0.024115214262665,0.0518705966776718,0.0043788994847142,-0.2418536273552567,0.0191829420721467,0.0664663516131657,0.0005886165756403,0.1097459581755177,0.0295786661891157,0.1706713296438508,0.0595500246653945,0.0534182523937423,-0.0062677214183449,-0.0473801108246525,-0.0037856503303116,0.0955451951397309,0.1464227840643075,0.098103644428574,-0.2770757738353951,-0.1220269029410996,0.1419269343812295,-0.0106219897212656,0.0490347619002055,0.0338470479739939,0.0617940847497415,-0.1699580621657705,-0.2179088201657751,-0.3672264709862355,0.0528477037636138,-0.2053304514023746,0.1377907520031948,0.1617023353940916,0.0475303695309374,0.0893839109373356,-0.0225589518430266,-0.2119646970725506,0.2909340004506873,0.1042229308562312,0.0884191732585177,-0.0190568651150174,-0.026315852111233,-0.1548945998000502,0.0808738739953441,0.1166524626441059,0.2857866396524387,0.1761107904088168,0.026258128433451,-0.0524693375014183,0.135744854228013,0.0776061619057842,0.1765911317940961,0.0158969299081555,0.0049660950938987,0.0022784265608735,-0.0008741103147551,-0.0792168831073761,-0.0219465574254545
LYN,-0.1024818993845923,0.1914989046185514,0.1115982432555037,0.2673624402270458,-0.0544667469732721,0.1321620812206527,0.1439201080758053,0.0211735485005415,0.1209483871758551,-0.0132924696026506,0.0262559581794047,0.0377067768755348,0.2163066866557177,0.0750723374166096,0.1419342399511041,-0.2424253951760819,-0.0084660819988824,0.2344155612201124,0.0472411337587868,-0.0276818283161828,0.0705752888365126,0.18243404792058,-0.0334225405377903,0.0854431435443628,0.1207596219901062,0.0928246010971088,0.0311858857827045,0.0134344712760532,0.0522972989171909,0.0361708895092742,0.2887879166502859,0.0776400204570922,0.0835714577164391,0.2203515713140799,0.1412344162219623,0.0529666117410165,0.1775102709154158,0.0683983653454257,0.035462074527358,-0.1420579899696815,0.1181820547816315,0.0015710524712213,0.0107170759838297,0.257276070608645,0.1173750638560987,0.01112963997003,0.0164511277649046,0.0844581546989754,0.1599703473053576,0.088368455404347,-0.1734012597016543,-0.0443016093316864,0.0730183511487245,-0.079371187863784,0.2050090174247434,0.1765414524455024,0.1328164664143546,0.121953356041066,0.1559899426409569,0.069968314470256,0.0480182719895194,0.160003414282948,0.1620885873360323
WDR20,-0.1958104893979289,-0.0089250037890754,-0.1551525437709786,0.0130593525993443,-0.0647886862415662,-0.207039536582441,-0.1285699869308715,-0.2115213929999442,-0.3003735171086166,-0.2647005383809035,-0.2660125239504971,0.0140519474628171,-0.2903799420016649,-0.0132481025231593,-0.3643258105934479,-0.0597775112649565,-0.1993476774015906,-0.1300113694886276,-0.0421337884249285,-0.2326966673359929,-0.0622142216391807,-0.2064386585783365,-0.3840482387586597,-0.0421859830328337,-0.2203381749538849,-0.1639930894890426,-0.1951795303876895,-0.0401661992643785,-0.1840469025971506,-0.1033902082234727,0.0209738775828938,-0.4063955409076674,-0.1352929993491816,-0.0243589333601509,-0.2871638553269127,-0.2605339851567388,-0.211786349102634,-0.0999293016024978,-0.1042983205863969,-0.1196884999857596,-0.3677726177057441,-0.1760856034568123,-0.0854848175075988,0.002510442269892,-0.3520603595890349,-0.1634476687296047,-0.1061217214987591,-0.152576718703661,-0.084743688773168,-0.1836517008658804,0.0367645338744116,-0.1053105558083634,-0.2382324261172331,0.0871921568379314,-0.1445942882017952,-0.0578238981735073,-0.1562402599343214,-0.1447123837762255,0.1018363206446423,-0.1843900868525149,-0.1717152110993894,-0.2244914292976905,-0.0624314749645891
CKAP5,-2.156725569037783,-2.066365441226224,-3.115995825339004,-1.3299672044608422,-1.064273101823316,-1.9850045220393189,-1.667968016348509,-1.9461428512961776,-2.048484306278406,-2.054485929947884,-1.4988968955258009,-2.1796780120941373,-1.7026546739635815,-2.510705110925881,-2.264029350277665,-1.9551385303755568,-1.464849240836601,-1.5182249922399942,-1.326398985008988,-1.4046346297518597,-1.867416187216759,-1.638866885841187,-2.59878080977064,-2.036563766024422,-2.0940041328852232,-2.562446726734694,-2.0441209020226028,-1.760120346029164,-1.9498986930617848,-2.2153026005288186,-1.1250385836508214,-1.7936540836440498,-1.9242245966907288,-1.5029579210227566,-1.6598675330905317,-1.6252622184421055,-2.140153103946384,-2.150787234126899,-2.1078997972008664,-1.8361916446987911,-2.2753034425834406,-1.7017647085737186,-2.61329674197107,-1.570788436120765,-1.8191115313347728,-2.1427723138479795,-1.5353851247001946,-1.7539898125751086,-1.889694633580293,-2.1498146638340248,-2.404032429426372,-1.2668637582084203,-2.043690088187437,-1.7913031874901684,-1.6244168318677004,-2.1800117901006244,-1.5202115848751114,-1.685465591486155,-1.9699038924736552,-1.6670787449084292,-2.474472436486773,-1.9091295677523308,-2.121866033573075
RAD1,-0.7935049380614801,-0.6502477007864267,-0.4527724281536547,-0.1358624876258931,-0.7827027324299058,-0.5874226961397849,-0.5164637513526541,-0.6785884337505236,-0.4864522235234665,-0.4522372080418955,-1.0216528800532627,-0.5800214781935398,-0.33803263035031,-0.2451521179818998,-0.1010499321538758,-0.3850658418904847,-0.3871547326416815,-1.0285659429273304,-0.8563537427398181,-0.4122859512035512,-0.6460578944789735,-0.4080076411189136,-0.7485941088417892,-0.5469940853391408,-0.5841818215086383,-0.4647310647080284,-0.565929676566764,-0.426338887396725,-0.2429688814832381,-0.3204820982231617,-0.5480182393888006,-0.7198890675364474,-0.3162769759536096,-0.187870945328322,-1.1163262182472915,-0.4505599850430085,-0.6509777105301483,-0.6389761558141924,-0.3845908474686124,-0.5064482714347394,-0.3126275287452658,-0.5760538984654134,-0.3769804688901859,-0.4103106772608183,-0.6752709296049096,-0.4259770110596635,-0.5215775012827517,-0.6296911206306383,-0.5108276583298786,-0.5321965624701755,-0.1629296226565499,-0.2157134139203931,-0.61124127330755,-0.5064482110795923,-0.6103454967640956,-0.7115148193076464,-0.5480655059448121,-0.7527687849506544,-0.30648108796508,-0.6703416018730931,-0.3983079866874748,-0.6612877346165051,-0.9339129840618065
PAPOLA,-0.1223281654597137,-0.2177408288931456,0.102430783898759,0.229733809901745,-0.1213339260115624,-0.0103956510410267,-0.0106312897251902,0.0840716584014456,-0.0373117845555758,-0.2826206132770771,-0.1395078227975822,-0.1319963007358553,-0.1231838751440287,0.1260831925062293,-0.1463344944880029,-0.1486411377027215,-0.2442146432640793,-0.0131594925834426,0.1605827125780303,0.1587629060910211,-0.1205412699081115,0.0639504830790881,0.0418159849579058,0.052784269007262,-0.1649842857039414,0.1806324873710787,-0.3840765576264003,-0.2218778266919643,-0.1345296635126411,0.0139390551254426,-0.2482155029780777,-0.0176137256040367,-0.1375160208804752,-0.3723993001123536,-0.1509432246144285,-0.150982248372752,-0.0181509354558689,-0.1092320336033648,-0.2087643784669627,-0.2255100397059437,0.1280535568203636,0.0738945340098974,-0.1270781170254118,-0.0191395493164691,0.0152211371755373,-0.0433360883652635,-0.1197520767789654,0.065804377476783,-0.3554548781385106,-0.3493631749810764,-0.1132767629531535,0.1969171911376542,0.1900940041554057,0.6935214292084566,-0.1037049735091183,-0.0099901056987268,-0.1946602547135515,0.0885438063670825,-0.1395462148779145,0.1846194477982052,-0.3253445498681533,0.2820470591423253,-0.3109047275506204
SCAP,-1.4738544471332844,-1.1241043283996532,-0.1400241232629838,-0.5643238582587535,-1.86733370059996,-0.8073608075218869,-1.3551272807115298,-1.4683908225798994,-1.2795278628071003,-1.8614090343944965,-1.1307375333573635,-0.1069296341850892,-0.4759603553720982,-0.1194046486653375,-1.0722551852622073,-0.2941086294769086,-1.842205227379777,-0.6125876551007554,-1.9266736473592376,-1.820529563333651,-1.018430269476268,-0.2694176539046404,-1.326794442350656,-0.718641848024519,-0.7736406178291271,-0.4507435244404039,-0.928900581238398,-1.9694500407995048,-1.5361820882298989,-1.5425671250715989,-1.468818162040043,-0.929890411161788,-1.5801553172011231,-1.775796967845475,-0.1310431855448806,-1.1269298711194249,-1.6866685643747583,-1.4719485360464533,-0.9160748948471518,0.0219493063045366,-1.603642028228521,-1.5582085587953711,-0.2194173552775888,-0.8072633987907004,-1.657647995994569,-0.3143104012320594,-1.5909643063765575,-1.9213289738797208,-1.1013734729867717,-0.9537819535389136,-0.797819521890361,-2.4126539085481085,-0.2289830607866191,-0.7149315662010417,-0.785975723353655,-1.2143141264312638,-0.659975066908396,-1.381166277386259,-1.0661411988053946,-1.5962626552169212,-0.2520107886592004,-1.288551955837516,-0.708397888186956
